Date,Open,High,Low,Close,Voulume
2015. 11. 30 오후 4:00:00,5139.58,5141.36,5098.7,5108.67,
2015. 12. 1 오후 4:00:00,5129.64,5156.31,5120.17,5156.31,
2015. 12. 2 오후 4:00:00,5158.82,5176.77,5117.15,5123.22,
2015. 12. 3 오후 4:00:00,5143.16,5144.6,5011.72,5037.53,
2015. 12. 4 오후 4:00:00,5050.93,5147,5043.49,5142.27,
2015. 12. 7 오후 4:00:00,5139.46,5139.78,5082.23,5101.81,
2015. 12. 8 오후 4:00:00,5050.52,5111.73,5045.73,5098.24,
2015. 12. 9 오후 4:00:00,5077.21,5106.37,5000.12,5022.87,
2015. 12. 10 오후 4:00:00,5026.3,5075.65,5019.31,5045.17,
2015. 12. 11 오후 4:00:00,4979.77,4996.19,4928.67,4933.47,
2015. 12. 14 오후 4:00:00,4932.61,4953.6,4871.59,4952.23,
2015. 12. 15 오후 4:00:00,4991.21,5026.54,4986.99,4995.36,
2015. 12. 16 오후 4:00:00,5033.48,5078.99,4992.63,5071.13,
2015. 12. 17 오후 4:00:00,5087.17,5088.58,5002.55,5002.55,
2015. 12. 18 오후 4:00:00,4982.58,4996.49,4921.33,4923.08,
2015. 12. 21 오후 4:00:00,4957.53,4968.92,4928.93,4968.92,
2015. 12. 22 오후 4:00:00,4988.68,5007.77,4964.08,5001.11,
2015. 12. 23 오후 4:00:00,5025.55,5046.09,5020.44,5045.93,
2015. 12. 24 오후 4:00:00,5046.19,5063.28,5043.65,5048.49,
2015. 12. 28 오후 4:00:00,5032.29,5041.27,4999.07,5040.99,
2015. 12. 29 오후 4:00:00,5066.52,5116.99,5065.89,5107.94,
2015. 12. 30 오후 4:00:00,5101.18,5102.35,5065.68,5065.85,
2015. 12. 31 오후 4:00:00,5047.04,5058.06,5007.01,5007.41,
2016. 1. 4 오후 4:00:00,4897.65,4903.09,4846.98,4903.09,
2016. 1. 5 오후 4:00:00,4917.84,4926.73,4872.74,4891.43,
2016. 1. 6 오후 4:00:00,4813.76,4866.04,4804.69,4835.76,
2016. 1. 7 오후 4:00:00,4736.4,4788.02,4688.17,4689.43,
2016. 1. 8 오후 4:00:00,4722.02,4742.57,4637.85,4643.63,
2016. 1. 11 오후 4:00:00,4673.44,4683.02,4573.78,4637.99,
2016. 1. 12 오후 4:00:00,4681.54,4714.8,4618.03,4685.92,
2016. 1. 13 오후 4:00:00,4706.02,4713.98,4517.56,4526.06,
2016. 1. 14 오후 4:00:00,4545.37,4650.55,4470.59,4615,
2016. 1. 15 오후 4:00:00,4464.37,4520.45,4419.41,4488.42,
2016. 1. 19 오후 4:00:00,4548.05,4550.57,4430.77,4476.95,
2016. 1. 20 오후 4:00:00,4405.22,4514.92,4313.39,4471.69,
2016. 1. 21 오후 4:00:00,4480.7,4537.15,4432.02,4472.06,
2016. 1. 22 오후 4:00:00,4557.39,4591.18,4540.27,4591.18,
2016. 1. 25 오후 4:00:00,4574.59,4590.44,4514.78,4518.49,
2016. 1. 26 오후 4:00:00,4537.04,4583.21,4503.53,4567.67,
2016. 1. 27 오후 4:00:00,4548.87,4568.85,4450.83,4468.17,
2016. 1. 28 오후 4:00:00,4533.81,4533.81,4447.5,4506.68,
2016. 1. 29 오후 4:00:00,4512.09,4613.95,4511.3,4613.95,
2016. 2. 1 오후 4:00:00,4587.59,4636.93,4565.37,4620.37,
2016. 2. 2 오후 4:00:00,4588.69,4589.9,4503.12,4516.95,
2016. 2. 3 오후 4:00:00,4543.82,4547.32,4424.47,4504.24,
2016. 2. 4 오후 4:00:00,4492.48,4545.52,4463.99,4509.56,
2016. 2. 5 오후 4:00:00,4491.48,4493.19,4350.37,4363.14,
2016. 2. 8 오후 4:00:00,4288.02,4301.53,4212.81,4283.75,
2016. 2. 9 오후 4:00:00,4224.87,4329.61,4222.48,4268.76,
2016. 2. 10 오후 4:00:00,4318.28,4369.62,4280.73,4283.59,
2016. 2. 11 오후 4:00:00,4218.81,4293.22,4209.76,4266.84,
2016. 2. 12 오후 4:00:00,4307.29,4340.13,4274.15,4337.51,
2016. 2. 16 오후 4:00:00,4397.95,4435.96,4376.52,4435.96,
2016. 2. 17 오후 4:00:00,4471.66,4540.78,4463.51,4534.06,
2016. 2. 18 오후 4:00:00,4548.1,4548.47,4482.77,4487.54,
2016. 2. 19 오후 4:00:00,4464.67,4513.15,4455.1,4504.43,
2016. 2. 22 오후 4:00:00,4548.31,4576.47,4546.55,4570.61,
2016. 2. 23 오후 4:00:00,4550.05,4558.06,4500.94,4503.58,
2016. 2. 24 오후 4:00:00,4453.93,4547.64,4425.72,4542.61,
2016. 2. 25 오후 4:00:00,4554.73,4582.2,4516.89,4582.2,
2016. 2. 26 오후 4:00:00,4615.14,4618.85,4580.78,4590.47,
2016. 2. 29 오후 4:00:00,4585.3,4619.9,4557.46,4557.95,
2016. 3. 1 오후 4:00:00,4596.01,4689.6,4581.75,4689.6,
2016. 3. 2 오후 4:00:00,4683.8,4703.58,4665.93,4703.42,
2016. 3. 3 오후 4:00:00,4698.38,4707.72,4674.46,4707.42,
2016. 3. 4 오후 4:00:00,4715.76,4746.65,4687.94,4717.02,
2016. 3. 7 오후 4:00:00,4690.88,4731.19,4674.82,4708.25,
2016. 3. 8 오후 4:00:00,4676.22,4695.04,4642.86,4648.82,
2016. 3. 9 오후 4:00:00,4666.42,4676.47,4642.42,4674.38,
2016. 3. 10 오후 4:00:00,4691.2,4716.14,4607.99,4662.16,
2016. 3. 11 오후 4:00:00,4712.38,4748.79,4700.91,4748.47,
2016. 3. 14 오후 4:00:00,4733.39,4762.27,4731.51,4750.28,
2016. 3. 15 오후 4:00:00,4731.14,4735.27,4712.07,4728.67,
2016. 3. 16 오후 4:00:00,4717.88,4774.78,4716.45,4763.97,
2016. 3. 17 오후 4:00:00,4752.62,4788.09,4737.97,4774.99,
2016. 3. 18 오후 4:00:00,4784.63,4804.58,4772.41,4795.65,
2016. 3. 21 오후 4:00:00,4787.31,4814.85,4785.38,4808.87,
2016. 3. 22 오후 4:00:00,4783.6,4835.6,4781.71,4821.66,
2016. 3. 23 오후 4:00:00,4813.87,4816.67,4765.37,4768.86,
2016. 3. 24 오후 4:00:00,4743.36,4773.5,4734.77,4773.5,
2016. 3. 28 오후 4:00:00,4785.25,4787.39,4760.01,4766.79,
2016. 3. 29 오후 4:00:00,4756.55,4849.31,4749.78,4846.62,
2016. 3. 30 오후 4:00:00,4875.46,4899.14,4859.35,4869.29,
2016. 3. 31 오후 4:00:00,4869.57,4891.3,4864.41,4869.85,
2016. 4. 1 오후 4:00:00,4842.55,4917.09,4832.06,4914.54,
2016. 4. 4 오후 4:00:00,4911.21,4917.75,4885.17,4891.8,
2016. 4. 5 오후 4:00:00,4855.9,4872.7,4838.62,4843.93,
2016. 4. 6 오후 4:00:00,4849.58,4921.51,4849.28,4920.72,
2016. 4. 7 오후 4:00:00,4893.57,4901.49,4831.49,4848.37,
2016. 4. 8 오후 4:00:00,4883.99,4892.6,4835.36,4850.69,
2016. 4. 11 오후 4:00:00,4873.39,4897.55,4833.4,4833.4,
2016. 4. 12 오후 4:00:00,4838.82,4879.6,4808.91,4872.09,
2016. 4. 13 오후 4:00:00,4904.79,4951.91,4903.6,4947.42,
2016. 4. 14 오후 4:00:00,4947.62,4961.3,4931.81,4945.89,
2016. 4. 15 오후 4:00:00,4938.83,4950.43,4925.46,4938.22,
2016. 4. 18 오후 4:00:00,4919.36,4960.79,4915.63,4960.02,
2016. 4. 19 오후 4:00:00,4968.3,4968.67,4915.52,4940.33,
2016. 4. 20 오후 4:00:00,4941.99,4969.32,4928.29,4948.13,
2016. 4. 21 오후 4:00:00,4949.12,4966.61,4932.64,4945.89,
2016. 4. 22 오후 4:00:00,4898.24,4921.66,4872.02,4906.23,
2016. 4. 25 오후 4:00:00,4891.48,4904.87,4878.37,4895.79,
2016. 4. 26 오후 4:00:00,4903.81,4915,4875.42,4888.28,
2016. 4. 27 오후 4:00:00,4855.38,4872.91,4826.38,4863.14,
2016. 4. 28 오후 4:00:00,4857.6,4889.16,4796.32,4805.29,
2016. 4. 29 오후 4:00:00,4805.79,4807.89,4740.84,4775.36,
2016. 5. 2 오후 4:00:00,4786.55,4821.57,4768.28,4817.59,
2016. 5. 3 오후 4:00:00,4780.88,4791.43,4749.71,4763.22,
2016. 5. 4 오후 4:00:00,4735.28,4751.64,4713.91,4725.64,
2016. 5. 5 오후 4:00:00,4742.42,4744.55,4709.75,4717.09,
2016. 5. 6 오후 4:00:00,4695.9,4736.16,4684.28,4736.16,
2016. 5. 9 오후 4:00:00,4736.35,4771.94,4735.06,4750.21,
2016. 5. 10 오후 4:00:00,4768.91,4811.3,4758.2,4809.88,
2016. 5. 11 오후 4:00:00,4799.3,4812.19,4760.36,4760.69,
2016. 5. 12 오후 4:00:00,4778.19,4779.46,4710.17,4737.33,
2016. 5. 13 오후 4:00:00,4731.07,4759.29,4708.26,4717.68,
2016. 5. 16 오후 4:00:00,4728.86,4791.25,4724.73,4775.46,
2016. 5. 17 오후 4:00:00,4768.85,4776.15,4703.39,4715.73,
2016. 5. 18 오후 4:00:00,4705.78,4762.28,4704.49,4739.12,
2016. 5. 19 오후 4:00:00,4717.36,4735.27,4678.38,4712.53,
2016. 5. 20 오후 4:00:00,4729.44,4781.7,4729,4769.56,
2016. 5. 23 오후 4:00:00,4771.57,4792.64,4763.91,4765.78,
2016. 5. 24 오후 4:00:00,4792.85,4865.99,4792.63,4861.06,
2016. 5. 25 오후 4:00:00,4877.18,4905.45,4872.42,4894.89,
2016. 5. 26 오후 4:00:00,4897.78,4909.38,4887.27,4901.77,
2016. 5. 27 오후 4:00:00,4904.05,4933.5,4902.5,4933.5,
2016. 5. 31 오후 4:00:00,4938.48,4951.45,4923.03,4948.05,
2016. 6. 1 오후 4:00:00,4928.97,4958.98,4923.2,4952.25,
2016. 6. 2 오후 4:00:00,4941.25,4971.36,4924.23,4971.36,
2016. 6. 3 오후 4:00:00,4958.1,4958.65,4909.21,4942.52,
2016. 6. 6 오후 4:00:00,4950.46,4980.14,4944.87,4968.71,
2016. 6. 7 오후 4:00:00,4972.13,4979.38,4960.28,4961.75,
2016. 6. 8 오후 4:00:00,4970.01,4979.66,4956.79,4974.64,
2016. 6. 9 오후 4:00:00,4954.15,4965.49,4940.55,4958.62,
2016. 6. 10 오후 4:00:00,4915.15,4917.92,4880.61,4894.55,
2016. 6. 13 오후 4:00:00,4868.51,4894.85,4844.94,4848.44,
2016. 6. 14 오후 4:00:00,4836.67,4863.01,4811.93,4843.55,
2016. 6. 15 오후 4:00:00,4855.08,4868.16,4830.33,4834.93,
2016. 6. 16 오후 4:00:00,4809.69,4847.86,4778.78,4844.92,
2016. 6. 17 오후 4:00:00,4835.02,4835.02,4792.34,4800.34,
2016. 6. 20 오후 4:00:00,4856.69,4882.15,4834.51,4837.21,
2016. 6. 21 오후 4:00:00,4845.08,4852.19,4826.59,4843.76,
2016. 6. 22 오후 4:00:00,4846.68,4875.93,4830,4833.32,
2016. 6. 23 오후 4:00:00,4872.19,4910.04,4859.4,4910.04,
2016. 6. 24 오후 4:00:00,4715.79,4798.22,4698.42,4707.98,
2016. 6. 27 오후 4:00:00,4664.73,4665.04,4574.25,4594.44,
2016. 6. 28 오후 4:00:00,4643.93,4692.98,4643.93,4691.87,
2016. 6. 29 오후 4:00:00,4732.93,4787.59,4732.34,4779.25,
2016. 6. 30 오후 4:00:00,4793.75,4843.11,4774.52,4842.67,
2016. 7. 1 오후 4:00:00,4837.18,4880.17,4837.17,4862.57,
2016. 7. 5 오후 4:00:00,4837.06,4839.13,4797.29,4822.9,
2016. 7. 6 오후 4:00:00,4799.32,4861.05,4786.01,4859.16,
